control_id,control_name,description,nist_csf_function,nist_csf_category,nist_csf_subcategory,iso_27001_reference,implementation_status,control_owner,evidence_link,automation_potential,maturity_score_current,maturity_score_target,kpi
CTRL-001,Enterprise Asset Inventory,"Maintain a centralized inventory of endpoints, servers, cloud assets, and applications with ownership metadata.",Identify,ID.AM Asset Management,ID.AM-1,A.5.9,In Progress,IT Operations,evidence/asset-inventory-reconciliation-q1.md,High,2.8,4.5,95% of production assets discovered within 24 hours
CTRL-002,Software Asset Register,"Track authorized software and SaaS usage including versioning, licensing, and business owners.",Identify,ID.AM Asset Management,ID.AM-2,A.8.1,Implemented,IT Operations,evidence/software-asset-register.csv,Medium,3.6,4.4,100% tier-1 applications mapped to owners
CTRL-003,Business Context Mapping,"Document critical services, dependencies, and data flows to support risk-informed protection decisions.",Identify,ID.GV Governance,ID.GV-1,A.5.1,Needs Review,GRC,evidence/business-service-context-model.vsdx,Low,2.5,4.0,All crown-jewel services have approved dependency maps
CTRL-004,Cyber Risk Register Governance,"Maintain risk intake, scoring, acceptance, and escalation workflows with quarterly governance reviews.",Identify,ID.RA Risk Assessment,ID.RA-1,A.5.4,Implemented,GRC,evidence/risk-committee-minutes-q1.pdf,Medium,3.7,4.6,90% of identified risks triaged within 10 business days
CTRL-005,Threat Modeling Standard,Perform threat modeling for major system changes and new applications before production release.,Identify,ID.RA Risk Assessment,ID.RA-2,A.8.28,In Progress,Security Engineering,evidence/threat-model-template.docx,Low,2.4,4.2,100% of high-risk projects complete threat model prior to go-live
CTRL-006,Third-Party Risk Assessments,"Assess critical vendors for security, privacy, and resiliency controls before onboarding and annually thereafter.",Identify,ID.RA Risk Assessment,ID.RA-3,A.5.19,In Progress,GRC,evidence/third-party-assessment-log.xlsx,Medium,2.7,4.3,100% critical vendors assessed annually
CTRL-007,Policy Framework Management,"Publish and annually review information security policies, standards, and control procedures.",Identify,ID.GV Governance,ID.GV-2,A.5.1,Implemented,GRC,evidence/security-policy-library-index.md,Low,3.9,4.5,100% mandatory policy reviews completed on schedule
CTRL-008,Security Roles and Accountability,"Define and communicate security responsibilities across first, second, and third lines of defense.",Identify,ID.GV Governance,ID.GV-3,A.5.2,Implemented,GRC,evidence/raci-security-governance.xlsx,Low,3.8,4.4,All security control owners formally assigned and acknowledged
CTRL-009,Privileged Access Management,"Enforce least privilege, just-in-time elevation, and session recording for privileged accounts.",Protect,PR.AC Access Control,PR.AC-1,A.8.2,In Progress,Identity & Access Management,evidence/pam-onboarding-status-q1.md,High,2.9,4.6,95% of privileged sessions brokered through PAM
CTRL-010,MFA Enforcement,"Require phishing-resistant MFA for workforce SSO, VPN, and administrative access paths.",Protect,PR.AC Access Control,PR.AC-7,A.8.5,Implemented,Identity & Access Management,evidence/mfa-coverage-dashboard-q1.png,High,3.5,4.7,98% of active accounts protected by MFA
CTRL-011,Access Certification Reviews,Perform quarterly user and privileged access recertification for critical systems.,Protect,PR.AC Access Control,PR.AC-4,A.5.18,Needs Review,Identity & Access Management,evidence/iam-access-review-q1.md,Medium,2.6,4.4,100% critical apps complete quarterly access reviews
CTRL-012,Data Classification and Handling,Classify data by sensitivity and enforce handling requirements across storage and collaboration tools.,Protect,PR.DS Data Security,PR.DS-1,A.5.12,In Progress,GRC,evidence/data-classification-standard-v3.pdf,Medium,2.4,4.3,90% of repositories labeled with approved data classifications
CTRL-013,Encryption at Rest,"Apply strong encryption for databases, object storage, and endpoint disk volumes containing sensitive data.",Protect,PR.DS Data Security,PR.DS-2,A.8.24,Implemented,Cloud Security,evidence/encryption-at-rest-audit-q1.csv,High,3.9,4.8,99% sensitive data stores encrypted at rest
CTRL-014,Encryption in Transit,Enforce modern TLS configuration and certificate lifecycle management for internal and external services.,Protect,PR.DS Data Security,PR.DS-2,A.8.24,Implemented,Security Engineering,evidence/tls-baseline-scan-results-q1.json,High,3.8,4.7,95% of internet-facing services meet TLS baseline
CTRL-015,Secure Configuration Baselines,Harden systems and cloud resources using approved baseline templates and CIS-aligned controls.,Protect,PR.IP Information Protection Processes,PR.IP-1,A.8.9,In Progress,Cloud Security,evidence/cloud-config-baseline.md,High,2.8,4.5,90% of managed assets compliant with secure baselines
CTRL-016,Vulnerability Management Program,"Conduct authenticated scanning, prioritize findings by exploitability, and track remediation SLAs.",Protect,PR.IP Information Protection Processes,PR.IP-12,A.8.8,In Progress,Security Engineering,evidence/vulnerability-remediation-sla-report-q1.xlsx,High,2.7,4.6,85% of critical vulnerabilities remediated within SLA
CTRL-017,Endpoint Protection and EDR,Deploy EDR with behavioral prevention and centralized policy management across enterprise endpoints.,Protect,PR.IP Information Protection Processes,PR.IP-3,A.8.7,Implemented,Security Engineering,evidence/edr-coverage-report-q1.csv,High,3.7,4.6,97% of managed endpoints report healthy EDR status
CTRL-018,Security Awareness Training,Deliver role-based security awareness and phishing simulations with completion tracking.,Protect,PR.AT Awareness and Training,PR.AT-1,A.6.3,Implemented,GRC,evidence/security-awareness-completion-q1.csv,Medium,3.6,4.3,98% annual completion rate for mandatory training
CTRL-019,Centralized Log Collection,"Aggregate security telemetry from endpoints, identity systems, cloud platforms, and critical apps.",Detect,DE.CM Security Continuous Monitoring,DE.CM-1,A.8.15,In Progress,SOC,evidence/siem-log-source-onboarding.xlsx,High,2.9,4.6,95% of tier-1 systems sending logs to SIEM
CTRL-020,Cloud Audit Logging Coverage,"Enable and retain audit logs for cloud control plane, data plane, and identity events.",Detect,DE.CM Security Continuous Monitoring,DE.CM-7,A.8.15,In Progress,Cloud Security,evidence/cloud-audit-log-gap-analysis-q1.md,High,2.5,4.5,100% production cloud accounts with required logging enabled
CTRL-021,Use Case Detection Engineering,Develop and tune SIEM detections mapped to MITRE ATT&CK for priority threat scenarios.,Detect,DE.AE Anomalies and Events,DE.AE-1,A.5.7,Implemented,SOC,evidence/detection-use-case-catalog-q1.xlsx,High,3.5,4.5,Top 20 ATT&CK techniques covered by active detections
CTRL-022,Alert Triage Procedures,Define severity-based triage workflows with escalation criteria and evidence preservation steps.,Detect,DE.AE Anomalies and Events,DE.AE-2,A.5.25,Implemented,SOC,evidence/soc-triage-runbook-v2.md,Medium,3.6,4.4,90% of high-severity alerts triaged within 30 minutes
CTRL-023,User and Entity Behavior Analytics,Monitor anomalous user and service-account behavior across identity and endpoint telemetry.,Detect,DE.AE Anomalies and Events,DE.AE-3,A.8.16,Not Started,SOC,evidence/ueba-business-case.md,High,1.5,4.2,High-risk anomalous behavior alerts integrated into SOC queue
CTRL-024,Attack Surface Monitoring,Continuously discover and assess internet-exposed assets for misconfigurations and known vulnerabilities.,Detect,DE.CM Security Continuous Monitoring,DE.CM-8,A.8.8,Implemented,Security Engineering,evidence/external-attack-surface-report-q1.pdf,High,3.4,4.4,Weekly internet-facing exposure scans completed for all domains
CTRL-025,Threat Intelligence Integration,Ingest vetted threat intelligence and map indicators to preventive and detective controls.,Detect,DE.AE Anomalies and Events,DE.AE-5,A.5.7,Not Started,SOC,evidence/threat-intel-integration-plan.md,Medium,1.8,4.1,Actionable intelligence integrated into detection workflow within 24 hours
CTRL-026,Detection Coverage Metrics,"Track detection efficacy through false-positive rates, dwell time, and purple-team validation.",Detect,DE.AE Anomalies and Events,DE.AE-6,A.5.25,Needs Review,SOC,evidence/detection-kpi-dashboard-q1.png,Medium,2.7,4.3,False-positive rate for critical detections below 12%
CTRL-027,Incident Response Plan,Maintain and approve enterprise incident response plan with role-specific responsibilities.,Respond,RS.RP Response Planning,RS.RP-1,A.5.24,Implemented,Incident Response,evidence/incident-response-plan-v4.pdf,Low,3.7,4.5,IR plan reviewed and approved at least annually
CTRL-028,IR Playbook Library,"Develop scenario-based playbooks for ransomware, BEC, insider misuse, and cloud compromise.",Respond,RS.RP Response Planning,RS.RP-2,A.5.24,In Progress,Incident Response,evidence/ir-playbook-backlog.xlsx,Medium,2.8,4.5,Top 8 incident scenarios have tested playbooks
CTRL-029,Incident Severity Classification,Apply standardized severity model to prioritize response and executive notification thresholds.,Respond,RS.AN Analysis,RS.AN-1,A.5.25,Implemented,Incident Response,evidence/incident-severity-matrix-v3.md,Medium,3.6,4.4,100% incidents assigned severity within 1 hour of declaration
CTRL-030,Forensic Readiness,"Establish evidence handling, chain of custody, and forensic tooling standards.",Respond,RS.AN Analysis,RS.AN-3,A.5.28,In Progress,Incident Response,evidence/forensic-readiness-standard.docx,Low,2.4,4.2,All P1 incidents have complete evidentiary package
CTRL-031,Incident Communications Protocol,"Define internal and external communication procedures for legal, executive, customer, and regulator audiences.",Respond,RS.CO Communications,RS.CO-2,A.5.26,Needs Review,Incident Response,evidence/incident-comms-protocol-v2.pdf,Low,2.5,4.3,Stakeholder notifications issued within SLA for high-severity incidents
CTRL-032,Post-Incident Lessons Learned,Conduct post-incident reviews with root-cause analysis and tracked corrective actions.,Respond,RS.AN Analysis,RS.AN-5,A.10.1,In Progress,Incident Response,evidence/post-incident-review-log-q1.xlsx,Medium,2.9,4.4,90% of high-severity incidents completed PIR within 15 days
CTRL-033,Tabletop Exercise Program,Run cross-functional tabletop exercises to validate response readiness and decision-making.,Respond,RS.RP Response Planning,RS.RP-3,A.5.24,Not Started,Incident Response,evidence/tabletop-exercise-roadmap-2026.xlsx,Low,1.9,4.1,At least 2 enterprise cyber tabletops conducted per year
CTRL-034,Business Continuity Strategy,Define continuity strategies for critical business processes with cyber disruption scenarios.,Recover,RC.RP Recovery Planning,RC.RP-1,A.5.29,Implemented,Business Continuity,evidence/business-continuity-strategy-2026.pdf,Low,3.4,4.4,100% critical processes mapped to approved continuity strategies
CTRL-035,Backup Policy and Retention,"Define and enforce backup frequency, retention tiers, and immutability requirements.",Recover,RC.RP Recovery Planning,RC.RP-2,A.8.13,Implemented,IT Operations,evidence/backup-policy-standard-v5.pdf,High,3.8,4.7,95% critical systems compliant with backup policy
CTRL-036,Backup Recovery Testing,Perform periodic restore testing for critical applications and infrastructure.,Recover,RC.RP Recovery Planning,RC.RP-3,A.8.13,In Progress,Business Continuity,evidence/backup-restore-test-results-q1.xlsx,Medium,2.6,4.5,90% of critical recovery tests pass within RTO/RPO targets
CTRL-037,Disaster Recovery Runbooks,"Maintain technology-specific DR runbooks with dependencies, failover steps, and validation checks.",Recover,RC.RP Recovery Planning,RC.RP-4,A.5.30,In Progress,IT Operations,evidence/dr-runbook-library-index.md,Medium,2.7,4.4,100% tier-1 services have current DR runbooks
CTRL-038,Crisis Communication Plan,"Coordinate executive, employee, customer, and regulator communications during major cyber events.",Recover,RC.CO Communications,RC.CO-1,A.5.26,Implemented,Business Continuity,evidence/crisis-communications-playbook-v2.pdf,Low,3.5,4.3,Crisis communication templates approved and tested annually
CTRL-039,Recovery Improvement Tracking,Track and prioritize recovery-related corrective actions from incidents and exercises.,Recover,RC.RP Recovery Planning,RC.RP-5,A.10.1,Not Started,Business Continuity,evidence/recovery-corrective-action-log.xlsx,Medium,1.8,4.2,90% recovery action items closed by target date
CTRL-040,Recovery Communications Drills,Exercise stakeholder communication and escalation workflows during recovery simulations.,Recover,RC.CO Communications,RC.CO-2,A.5.26,Not Started,Business Continuity,evidence/recovery-comms-drill-plan-2026.md,Low,1.7,4.1,Two recovery communication drills completed per year
